start_time,end_time,text
53.72,56.054,"What's this ""having a picnic"" shit
in my car?"
56.848,60.475,"Please, man, I'm not getting sex
at home. Don't deny me this."
60.768,62.936,"You sleep with
a beautiful woman nightly."
63.271,67.817,"I'm married. ""Married"" means you
sleep together, but you can't get none."
72.156,74.656,"Watch it with all that shit,
all right?"
76.993,79.62,"- Where are your cup holders?
- I don't have one."
79.954,84.0,"What do you mean? $80,000
for this car and there's no cup holder?"
84.376,88.504,"It's $105,000, and it's one of
the fastest production cars on Earth."
88.796,90.338,0 to 60 in 4 seconds.
90.591,93.468,"- It's a limited edition.
- You damn right it's limited."
93.676,95.51,"No cup holder, no back seat."
96.013,98.014,"It's a shiny dick
with two chairs in it."
98.515,101.183,"I guess we the balls,
just dragging the fuck along."
102.394,103.436,Damn.
104.813,105.854,Sorry.
111.194,112.194,Get it.
112.82,115.49,"I can't get down there.
You got an engineering flaw."
115.783,117.408,"My shit ain't going down
up in there."
118.367,120.661,"Go.
Titty-titty, strutty-strutty."
120.912,122.871,Make them want it.
123.123,124.956,I ain't cleaning up after you.
125.209,129.127,"My hand can't get down there.
When it does, it gets stuck."
129.42,131.631,"Now, what do you come up with?
You got this shit."
131.882,133.007,Get that fry.
133.217,135.05,This ain't Denny's.
135.885,139.68,"I wouldn't buy from Denny's.
I don't like how we been treated."
139.889,142.14,"They bit.
Let's gank these fools."
143.143,146.228,"You ain't interested in the fry.
You all up in that."
146.396,148.563,"- Get out.
- Shit."
148.731,151.4,"- What the fuck?
- We've had a big week."
151.735,153.444,So get the fuck out of the car.
153.736,156.364,"Damn.
What you weigh, 350?"
156.531,159.324,"I bet you're a Popeye chicken-eating
motherfucker, ain't you?"
160.536,162.995,"Why I always get
the big, thick motherfuckers?"
163.329,164.454,Get out.
164.747,166.081,All right. All right.
166.332,167.959,Hold on.
168.21,171.086,"Funny. Let me tell you
how bad a day you're having."
171.254,173.046,You're jacking a couple of cops.
173.465,175.383,"Oh, yeah?
Well, I'm a stand-up comedian..."
175.716,178.218,"...and I suck!
So I need your car."
178.469,179.594,I ain't Wesley Snipes.
179.847,183.598,"I just hang out with stupid-ass friends
who drive stupid-ass cars..."
183.85,185.6,...that attract fucking attention.
185.936,190.021,"I need to jump over this car
and smack you in the head."
190.274,193.192,"- You're arguing over a fry.
- It's not about that."
193.36,195.694,"It's about your lack of respect
for people's property."
195.903,197.612,"- Hey, hey.
- Shut up!"
197.865,200.949,"This is stupid.
Hold the fuck on."
201.117,203.368,"If you want some bad enough,
come get some."
206.998,208.123,You like that shit?
208.417,210.918,"Wesley Snipes, Passenger 57."
211.127,213.086,Now get me a fucking Handi Wipe.
214.046,215.923,"Now let's hear one
of those jokes, bitch."
311.228,313.603,"What do you think?
Looks like the real thing."
314.189,317.233,"- Remember your assignment?
- Yeah, I'm a decoy."
318.192,320.194,"Yes, you are."
326.617,327.867,What are you doing?
329.913,333.331,"Hello, police? I just saw
something terrible: a policeman shot..."
333.582,336.752,"...at South Miami and 1st Street.
Help, please."
337.086,339.338,All units. Officer down.
339.588,340.923,Respond code 3.
345.887,348.139,All units respond and identify.
366.283,368.783,"This is Air 2.
We got a full perimeter."
368.951,372.245,"Officer down.
We need additional ground units."
377.711,380.713,"Air 3, roger.
Suspect or suspects unknown."
385.552,387.47,"Gentlemen, it's clear."
421.088,422.129,We're inside.
428.136,430.846,"- We're in.
- You got 20 minutes."
441.608,443.858,Goddamn tacos will kill me.
457.999,460.543,"Okay, we got 12 minutes.
Come on, let's go."
478.019,479.769,Clear. We're in.
506.548,508.673,"Move your ass.
We got 6 minutes."
509.843,510.884,Ready.
516.725,518.933,"Ready to fire.
Go."
530.197,531.447,Fire.
535.201,536.243,Go.
551.342,552.384,Move!
579.287,580.578,Damn.
581.664,583.081,Did you have sweet dreams?
585.251,587.253,You're so nasty.
588.254,590.673,"You always saying
you want quality time."
591.298,595.26,"Well, right now I got the time
and you damn sure got the quality."
596.513,597.596,Come on now.
598.764,599.807,You know what it is?
602.018,605.437,"I can't remember the last time
we fell asleep together."
608.107,609.191,Baby...
610.943,613.653,"Baby, it's my job.
It's what it requires."
614.029,617.115,"I'm a better cop when
I get some in the morning."
617.366,618.783,I feel lighter on my feet.
619.034,622.12,"Keep it in your pants.
I hear 3 little Burnetts coming."
622.455,623.621,That's cold.
623.956,625.916,"You leave me here
like a humping dog."
627.711,629.336,"Hi, baby boy."
630.879,632.463,"- Daddy. Daddy.
- What's up?"
638.388,642.85,"At school, people say I look weird.
They say my ears look funny."
643.143,646.937,"Your daddy has that same problem.
But you know what?"
647.187,649.523,"They for you to listen
to people's problems."
649.732,653.318,"You're an angel. These are
your wings. Flap, flap. That's all."
653.695,656.739,"James, stop.
Would you take them off?"
658.408,661.744,"Don't make me come to your school.
I'll arrest the principal."
663.455,665.038,Talking about my boy's ears.
