start_time,end_time,text
189.925,194.3,"Hello. My name's
Forrest... Forrest Gump."
200.006,201.86,Do you want a chocolate?
204.325,208.581,"I could eat about a million
and a half of these."
208.646,210.501,My mama always said
210.566,214.144,"life was like
a box of chocolates."
215.686,218.174,"You never know what
you're going to get."
225.286,228.1,"Those must be
comfortable shoes."
228.165,231.395,"I bet you could walk all day
in shoes like that"
231.461,233.317,and not feel a thing.
235.461,238.758,I wish I had shoes like that.
238.822,241.156,My feet hurt.
241.222,243.076,"Mama always said
there's an awful lot"
243.141,246.917,"you can tell about
a person by their shoes."
246.981,248.836,"Where they're going,"
248.901,250.308,where they've been.
257.062,259.516,I've worn lots of shoes.
261.382,264.197,"I bet if I think
about it real hard"
264.262,266.596,"I could remember
my first pair of shoes."
269.223,272.197,"Mama said they'd
take me anywhere."
272.324,275.226,<i>She said they was my magic shoes.</i>
275.3,278.596,"All right, Forrest,
open your eyes now."
284.901,286.624,Let's take a little walk around.
293.956,295.483,How do those feel?
298.757,300.961,"His legs are strong,
Mrs. Gump,"
301.028,303.363,as strong as I've ever seen.
303.428,307.322,"But his back's as
crooked as a politician."
307.396,310.625,"But we're going to straighten him
right up, aren't we, Forrest?"
310.694,311.903,Forrest!
311.973,314.526,"<i>Now, when I was a baby,</i>"
314.596,317.247,"<i>Mama named me after
the great Civil War hero</i>"
317.317,319.324,<i>General Nathan Bedford Forrest.</i>
319.396,322.692,"<i>She said we was related
to him in some way.</i>"
322.757,324.132,"<i>What he did was,</i>"
324.197,327.492,"<i>he started up this club
called the Ku Klux Klan.</i>"
327.557,330.853,"<i>They'd all dress up in their robes
and their bedsheets</i>"
330.917,335.172,"<i>and act like a bunch
of ghosts or spooks or something.</i>"
335.237,339.012,"<i>They'd even put bedsheets
on their horses and ride around.</i>"
339.076,342.971,"<i>And, anyway, that's how
I got my name... Forrest Gump.</i>"
343.045,346.24,"<i>Mama said the Forrest part
was to remind me</i>"
346.308,349.124,"<i>that sometimes we all
do things that, well,</i>"
349.189,351.524,<i>that just don't make no sense.</i>
360.165,362.978,This way. Hold on. Ugh!
363.045,365.117,All right.
365.189,367.043,What are y'all staring at?
367.108,368.483,Haven't you ever seen
368.548,371.418,"a little boy with braces
on his legs before?"
372.612,373.987,Don't ever let anybody
374.052,376.387,"tell you they're better
than you, Forrest."
376.452,378.786,"If God intended everybody
to be the same,"
378.853,381.667,"he'd have given us all
braces on our legs."
381.733,385.507,"<i>Mama always had a way of explaining
things so I could understand them.</i>"
385.701,389.858,"<i>We lived about a quarter mile
off Route 17,</i>"
389.925,392.738,"<i>about a half mile from the town
of Greenbow, Alabama.</i>"
392.805,395.619,"<i>That's in the county
of Greenbow.</i>"
395.685,398.019,"<i>Our house had been
in Mama's family</i>"
398.084,400.058,"<i>since her grandpa's
grandpa's grandpa</i>"
400.132,403.427,"<i>had come across the ocean
about a thousand years ago.</i>"
403.492,405.761,<i>Since it was just me and Mama</i>
405.827,407.682,"<i>and we had all these empty rooms,</i>"
407.747,410.082,"<i>Mama decided to let those rooms out,</i>"
410.149,411.523,"<i>mostly to people passing through,</i>"
411.588,415.036,"<i>like from, oh, Mobile,
Montgomery, places like that.</i>"
415.108,417.923,<i>That's how me and Mama got money.</i>
417.988,420.639,<i>Mama was a real smart lady.</i>
420.709,422.564,"Remember what I told you, Forrest."
422.629,425.531,"You're no different
than anybody else is."
427.747,430.083,"Did you hear
what I said, Forrest?"
430.149,432.483,"You're the same
as everybody else."
432.548,434.403,You are no different.
434.468,438.94,"Your boy's... different,
Mrs. Gump."
439.012,441.346,His I.Q. Is 75.
441.413,443.834,"Well, we're all different,"
443.908,445.119,Mr. Hancock.
448.228,450.562,"<i>She wanted me to have
the finest education</i>"
450.629,453.923,"<i>so she took me to
the Greenbow County Central School.</i>"
453.988,456.802,<i>I met the principal and all.</i>
456.869,460.0,"I want to show you something,
Mrs. Gump."
460.069,462.37,"Now, this is normal."
462.437,467.225,Forrest is right here.
467.3,470.018,"The state requires
a minimum I.Q. Of 80"
470.084,471.742,to attend public school.
471.812,473.055,"Mrs. Gump,"
473.124,475.906,"he's going to have to
go to a special school."
475.973,478.307,"Now, he'll be just fine."
478.372,480.706,What does normal mean anyway?
480.773,482.627,He might be...
482.692,484.733,"a bit on the slow side,"
484.805,486.178,but my boy Forrest
486.245,489.06,"is going to get the same
opportunities as everyone else."
489.125,491.132,"He's not going to
some special school"
491.204,493.059,to learn how to retread tires.
493.124,495.994,"We're talking about
five little points here."
497.764,500.547,"There must be something
can be done."
500.612,504.889,"We're a progressive
school system."
504.964,507.615,"We don't want to see
anybody left behind."
507.684,512.255,"Is there a Mr. Gump, Mrs. Gump?"
514.948,516.866,He's on vacation.
516.995,522.177,"Eee! Eee! Eee!
Eee! Eee! Eee!"
522.243,526.681,Eee! Eee! Eee! Eee!
