start_time,end_time,text
98.919,100.32,Back up! Back up!
120.456,123.859,"Fans, it's the bottom of the ninth.
and the bases are loaded."
124.019,126.221,"And guess who the orphans
have at bat!"
126.421,129.143,"That's right.
It's the home-run queen herself."
129.303,132.266,The Belter from the Shelter. Miss--
132.466,133.267,Amanda Lemmon!
133.627,135.548,"-What?
-I'm going to kill you!"
135.709,138.03,"Didn't I tell you
not to play in that dress?"
138.391,141.273,"Come on, Diane!
I ain't going to hurt it."
141.433,144.716,"It's time for your interview.
Drop the bat. Let's go!"
144.916,147.798,"Just let me smash
this ball downtown, okay?"
148.159,150.24,All right. you got 10 seconds.
150.44,154.484,"Otherwise, the game is going to be
called on account of bloodshed!"
155.204,157.766,"Come on, Frankie.
I got to go to Staten Island."
158.086,160.048,"Staten Island?
What about camp?"
160.208,161.369,You'll miss the bus!
161.569,163.451,I won't. It's just a look-see.
163.611,166.213,"They're trying to place you
with the Butkises?!"
167.134,168.575,So what if they are?
168.775,171.938,"You ever met those people?
That family collects kids."
172.138,173.339,They'll take anybody.
173.539,175.26,Even rejects like you.
175.38,178.383,"Shut up, Frankie!
At least I got an interview."
179.624,181.906,And Amanda Butkis steps to the plate.
234.828,237.43,"-Come on. Hop in.
-It was a grand slam!"
237.63,239.151,See if they want a little boy!
239.432,240.873,Me and her. Two for one.
241.073,242.234,"What am I, on sale?"
242.434,243.875,Get your own!
246.117,247.958,"Staten Island, please."
250.881,252.282,You're out. We win!
252.522,254.724,Amanda didn't touch home plate!
255.925,258.327,"You're a dead man, Frankie!"
273.419,274.299,"Okay, so..."
274.5,275.781,...it's not Park Avenue.
275.941,278.062,You can't judge a book by the cover.
278.263,280.584,"You don't want to
be an orphan forever."
280.745,284.027,"-So adopt me, why don't you?
-They won't let me, on my salary."
284.227,287.23,"Besides that, you deserve
a mother and a father."
287.47,288.951,So get a husband!
289.231,291.353,"It's not like buying a car, you know!"
291.513,294.516,"I know. It's got to be that
''Can't eat, can't sleep..."
294.676,298.919,"...reach for the stars.
World Series'' kind of stuff, right?"
299.119,300.721,A girl has her standards.
301.201,304.804,"Well, I got mine. And I say.
let's blow off these people!"
307.806,308.767,Gum.
309.367,310.168,Hat.
312.05,313.411,Other gum.
316.894,319.496,"Look. I know these people
have a stupid name..."
320.136,321.898,...but they really like kids.
322.058,323.819,Okay? So put on a smile.
325.901,327.422,"Sell it, girl!"
327.622,330.224,Why do I always got to wear a dress?
331.585,333.627,"Because it makes you
look so pretty."
341.633,344.996,"Oh, isn't she the most precious thing?"
345.556,347.478,What a pretty little dress!
347.718,350.841,"She's a honey! Look.
she's got your mother's smile."
353.483,355.885,And your father's sense of humor.
358.086,359.528,That's very funny!
359.688,360.849,Come on in!
360.969,362.41,"Come in, sweetie!"
364.331,367.814,"Why, you'll love it in here!
It's going to be fabulous."
397.118,398.159,"Callaway, huh?"
398.799,400.36,Must be a real big shot.
400.56,402.842,You'd be surprised how big.
408.367,409.688,All this for her?
420.937,422.738,"Welcome home, princess."
424.059,425.901,"He forgot again, didn't he?"
426.101,429.664,"I'm afraid your father's
been unavoidably detained."
