start_time,end_time,text
84.311,85.844,"Hey, kiddo."
85.847,88.013,"- What?
- I found something."
88.016,90.251,You gotta check this out.
91.853,93.353,"""Jumanji."""
95.423,96.555,Board game?
96.558,99.096,Who plays board games?
193.09,194.987,Parry. Parry.
194.989,197.189,Evade. Blam.
197.191,198.925,Uppercut.
198.929,200.161,Head slam. You're dead.
200.162,202.965,"Strike. Strike.
Counterstrike. Head slam."
202.966,204.298,Ka-pow.
204.299,207.433,Get ready. Fight.
207.436,210.102,I got it.
219.614,221.182,"""...Benjamin Franklin,"
221.185,223.685,"""and it was this sense
of national exceptionalism"
223.686,227.521,"that fueled the spreading
wildfire of westward expansion."""
227.524,229.057,Spencer? Honey?
229.06,232.493,"Aah! Mom, what did we say
about the knocking?"
232.496,235.429,"I'm late for work. You going
to your father's after school?"
235.43,237.432,"- Yeah, probably.
- Don't forget your EpiPen."
237.435,239.566,"Please, remember,
the world is terrifying."
239.567,241.036,Be careful of everything.
241.037,242.401,"I love you
more than life itself. Bye."
242.405,243.704,"- See you Sunday night.
- Okay."
250.18,253.013,"- Later, Mama.
- Eat something."
253.014,254.413,"I can't.
I gotta go meet Spencer."
254.417,257.185,"- Spencer Gilpin?
- Yeah, Spencer Gilpin."
257.185,258.586,"He's, uh...
He's been tutoring me."
258.588,261.255,"- He's helping get my grades up.
- I love to hear that."
261.257,263.49,"- Little Spencer Gilpin.
- Yeah."
263.492,266.327,"- Your grades gonna be okay?
- That's why I'm getting help."
266.329,268.728,"I'd hate for you
to get dropped from the team..."
268.731,271.0,"I'm not gonna get dropped
from the team."
272.302,275.105,"It's... It's gonna
be fine. Okay?"
283.48,285.048,Mm.
294.223,296.09,Okay.
296.091,299.293,"That's cute, right?"
299.295,301.132,Yeah.
322.651,324.988,"- Yo.
- Hey, Fridge."
326.19,328.089,Why you wearing a raincoat?
328.091,330.391,"- What do you mean?
- I mean, it's not raining."
330.393,332.159,"Oh, well, it might."
332.161,334.327,"I mean, you never know
what's gonna happen."
336.167,338.231,"- Oy vey.
- What the hell, man?"
