start_time,end_time,text
43.978,45.558,"Everyone is born,"
45.728,48.058,but not everyone is born the same.
48.228,52.438,"Some will grow to be butchers
or bakers or candlestick makers."
52.607,56.277,"Some will only be really
good at making Jell-O salad."
56.447,60.487,"One way or another, though,
every human being is unique,"
60.657,62.997,for better or for worse.
64.367,68.837,"Most parents believe their children are the
most beautiful creatures ever to the planet."
69.167,71.046,Others take a less emotional approach.
71.206,73.126,"- What a waste of time.
- And painful."
73.296,76.006,And expensive. $9.25 for a bar of soap?
76.176,79.256,"- Well, I had to take a shower, Harry.
- $5000?"
79.426,82.466,"I'm not paying it. What are they
gonna do, repossess the kid?"
99.075,100.655,"- There's no way out.
- Make a U-turn."
100.825,101.865,All right.
108.324,109.954,"- Harry!
- All right."
110.954,112.494,Harry!
112.704,114.044,The Wormwood guy's back!
114.214,115.874,Harry and Zinnia Wormwood
116.044,118.964,"lived in a very nice neighborhood,
in a very nice house."
119.134,121.923,But they were not really very nice people.
132.223,134.723,"Get out of the street, you little dodos!"
141.272,144.482,"The Wormwoods were so
wrapped up in their own silly lives"
144.652,146.902,"that they barely noticed
they had a daughter."
147.072,149.282,"Had they paid any attention to her at all,"
149.452,152.782,"they'd have realized she was
a rather extraordinary child."
152.952,155.581,"Oh, my gosh, Matilda, now look what you did!"
155.751,157.871,They named her Matilda.
158.041,161.381,You're supposed to eat the spinach. Ooh!
161.751,166.171,"Ew, ew, ew. Ew, ew, ew!"
170.511,172.051,Babies!
172.221,175.1,You're better off raising tomatoes.
175.68,177.35,"By the time she was 2,"
177.52,180.85,"Matilda had learned what most
people learn in their early 30s:"
181.02,183.19,How to take care of herself.
186.44,190.739,"As time went by, she
developed a sense of style."
191.619,194.369,"Every morning, Matilda's brother,
Michael, went to school."
194.579,195.739,"- Bye, Mom.
- Get out of here."
195.909,198.869,"- Her father worked selling used cars.
- Make money."
199.039,202.129,"For unfair prices. And her
mother took off to play bingo."
202.289,205.379,"Soup's on the stove.
Heat it up if you get hungry."
205.589,207.758,Matilda was left alone.
209.128,210.678,That was how she liked it.
216.178,223.518,"# On my way, on my way"
224.147,227.817,# I would like to reach out my hand
228.567,232.947,# I may see you I may tell you to run
233.117,235.407,"# On my way, on my way"
235.577,237.237,# You know what they say About the young
240.157,245.126,"# Well, pick me up with golden hand"
245.336,246.416,# I may see you #
246.586,250.836,"By the time she was 4, Matilda had
read every magazine in the house."
251.376,253.296,"One night, she got up her courage"
253.466,257.176,"and asked her father for something
she desperately wanted."
257.346,260.135,A book? What do you want a book for?
260.345,261.635,To read.
261.805,265.055,"To read? Why would you wanna
read when you got the television set"
265.225,267.315,sitting right in front of you?
268.145,272.485,"There's nothing you can get from a book
that you can't get from a television faster."
272.655,274.405,Get out of the way!
275.614,278.484,"Matilda already knew that she was
somewhat different from her family."
279.824,282.244,"She saw that whatever she
needed in this world,"
282.414,284.414,she'd have to get herself.
284.874,286.574,"- Bye.
- Ciao."
286.744,289.624,There's fish fingers in the microwave.
292.503,295.543,"The next morning, after her parents left,"
295.713,298.133,Matilda set off in search of a book.
337.041,339.671,"Where are the children's books, please?"
339.841,341.551,In that room right over there.
341.711,344.84,"Would you like me to pick you out
one with lots of pictures in it?"
345.55,348.8,"No, thank you. I'm sure I can manage."
364.989,368.489,"From then on, every day, as soon
as her mother went to bingo,"
368.779,372.369,Matilda walked the 10 blocks to the library
