start_time,end_time,text
0.001,3.0,Subtitles by explosiveskull
39.831,41.415,<i>There have been many tales</i>
41.5,43.335,"<i>of the great warrior, Mulan.</i>"
45.878,49.674,"<i>But, ancestors,
this one is mine.</i>"
51.051,52.386,<i>Here she is.</i>
52.886,55.012,"<i>A young shoot, all green...</i>"
55.847,58.057,<i>unaware of the blade.</i>
59.81,62.061,<i>If you had such a daughter...</i>
62.228,66.191,"<i>her chi, the boundless energy
of life itself...</i>"
66.358,68.986,"<i>speaking through
her every motion...</i>"
69.152,73.198,"<i>could you tell her that
only a son could wield chi?</i>"
74.658,79.495,"<i>That a daughter would risk
shame, dishonor, exile?</i>"
81.873,85.501,"<i>Ancestors, I could not.</i>"
111.194,112.195,This way.
114.448,115.615,That's the last one.
115.781,116.783,Gently.
119.493,120.787,Mulan! Forget the chicken!
121.914,122.998,It will come back!
128.753,130.046,No!
133.592,136.677,"Tell me your sister
is not the cause of this."
139.806,140.973,Mulan!
141.057,143.018,Take control of yourself!
169.545,172.213,"Mulan!
Listen very carefully."
173.507,174.675,No!
207.748,211.211,"Mulan, what happened
when you fell off the roof?"
212.336,214.131,It was like you were a bird.
214.298,215.799,Don't panic.
215.883,218.093,"There's a spider
crawling in your hair."
218.926,220.512,You know I'm afraid of spiders.
220.888,223.264,"This is not one of
your tricks, is it, Mulan?"
223.348,226.852,"Don't worry,
if you hold very still..."
227.019,229.146,I will squash it.
229.478,231.856,"It is because I'm trying
to protect Mulan"
231.939,232.941,that I say this.
233.025,234.026,Mulan is young.
234.109,236.152,"She is still learning
how to control herself."
236.694,238.864,You make excuses for her.
239.865,243.534,"You forget, Mulan is
a daughter, not a son."
243.993,246.788,"A daughter brings honor
through marriage."
246.872,250.334,"Any man would be fortunate to
marry either of our daughters."
250.501,251.627,Including Mulan.
252.211,254.67,"I ask you, what man will want
to marry a girl"
254.754,256.882,"who flits around rooftops,
chasing chickens?"
261.261,263.346,Xiu gives me no trouble.
264.096,267.184,"The matchmaker will find
a good husband for her."
268.601,270.394,It is Mulan I worry about.
271.605,273.731,They'll call her a witch.
276.108,278.194,It's time you talked to her.
304.428,305.49,Do you know why the phoenix
305.514,307.473,"sits at the entrance
of our shrine?"
310.143,313.521,"She is the emissary
for our ancestors."
313.689,315.148,But I broke her.
317.401,320.946,"Some say the phoenix
is consumed by flame..."
321.446,323.197,and emerges again.
324.365,326.869,"I think she can survive
a broken wing."
328.661,330.956,"Your chi is strong, Mulan."
332.624,336.043,But chi is for warriors...
336.211,338.297,not daughters.
339.59,341.341,"Soon, you'll be a young woman..."
342.3,344.386,and it is time for you...
346.053,347.555,to hide your gift away.
348.473,349.6,To...
350.6,353.144,To silence its voice.
355.855,357.441,I say this to protect you.
359.526,361.028,That is my job.
362.778,366.658,"Your job is to bring honor
to the family."
368.117,370.036,Do you think you can do that?
477.978,480.271,Rourans? It can't be.
481.23,483.317,Close the gates!
495.62,496.622,Take out the leader!
542.458,544.043,He's way too strong!
552.009,553.595,You. You'll do.
579.37,581.123,<i>Your Majesty...</i>
581.289,584.125,"six of our northern garrisons
along the Silk Road..."
584.293,586.628,"have fallen
in a coordinated attack."
586.961,589.173,All trade has been disrupted.
589.338,591.048,"If we allow this to continue,"
591.133,593.177,"it could be
the end of the kingdom."
593.342,594.76,And my citizens?
596.471,597.556,Slaughtered.
598.807,601.518,"This soldier
is the only survivor."
602.351,604.98,I fear more attacks will follow.
605.73,607.316,Who is responsible?
610.277,612.863,"Rourans, Your Majesty."
613.363,616.24,"Their leader calls himself
Böri Khan."
616.365,617.868,I killed Böri Khan.
617.993,619.076,It is his son.
619.494,621.038,He has united the tribes
621.12,622.998,and resurrected the Rouran army.
623.206,625.667,"If I may, Your Imperial Majesty."
630.297,631.38,You may speak.
634.217,636.928,"Böri Khan
fights alongside a woman."
637.553,639.264,Her chi is beyond imagining.
639.431,641.767,"There is no place
for witches in this kingdom."
641.933,644.644,"It is forbidden
to use the power of chi"
644.727,646.187,in destructive ways.
646.27,647.73,"And yet, it is her skill"
647.813,649.816,"that leads the Rouran army
to victory."
650.274,652.778,"She has trained an elite force
of shadow warriors"
652.86,654.153,to assist Böri Khan.
654.238,657.448,We're not afraid of dark magic.
657.533,660.952,"We'll destroy this Rouran army
and their witch."
663.12,664.456,Here's my decree.
665.206,667.708,We'll build a mighty army.
667.875,670.796,"Every family
will supply one man."
671.964,675.091,"We'll protect
our beloved people..."
675.259,677.469,and crush these murderers.
679.221,681.974,<i>Deploy the Imperial Army.</i>
682.349,686.311,"<i>The dynasty
will not be threatened.</i>"
724.099,726.894,"So, you have news."
727.894,729.812,The emperor sends his army
729.897,731.315,to defend the Silk Road.
731.398,732.399,Good.
732.481,733.984,We will crush every garrison
734.067,736.485,"until the Imperial Army
is on its knees."
737.153,738.488,And then...
739.572,742.533,"the Imperial City
will be laid bare."
743.451,745.62,"The emperor
will be mine to kill."
746.705,748.248,"You have proved useful, witch."
748.789,749.832,Not witch.
750.918,752.793,Warrior.
754.796,757.966,"I could tear you to pieces
before you blink."
758.133,759.551,But you won't.
762.053,764.181,Remember what you want...
765.224,768.393,"a place where your powers
will not be vilified."
768.559,771.605,"A place where you are accepted
for who you are."
772.773,775.192,"You won't get what you want
without me."
781.615,782.99,"When I found you
on a desert steppe"
783.075,784.576,wandering alone...
784.743,786.202,you were exiled.
786.62,788.163,A scorned dog.
789.038,793.585,"When I sit on the throne,
that dog will have a home."
796.712,799.048,We will finish what we started.
800.466,801.634,And you will see to it
801.717,804.971,"that nothing and no one
stands in my way."
833.667,835.126,Black Wind and I rode alongside
835.21,836.961,"two rabbits
running side by side."
837.129,839.505,"I think one was a male,
one was a female."
839.673,841.424,"But you know,
you can't really tell"
841.508,843.051,when they're running that fast.
843.594,846.263,"When I go riding tomorrow,
I will try to find them again."
846.429,847.573,Maybe they'll still be there.
847.597,849.515,We have excellent news.
849.682,852.269,"The matchmaker has found you
an auspicious match."
855.062,857.024,"Yes, Mulan, it is decided."
861.278,862.653,Come and sit down.
870.62,872.456,"It is what is best
for our family."
882.758,883.759,Yes.
887.596,888.846,It is best.
890.64,892.893,I will bring honor to us all.
955.706,957.225,"I'm truly blessed
to be in the presence"
957.29,959.125,of such enchanting women.
959.293,962.629,"I have no doubt today will be
a momentous day for the Hua..."
962.712,965.506,"Never mind that.
We must be on time."
965.673,967.049,I'm starving.
967.216,968.844,"I already told you,
you cannot eat."
968.927,970.052,It will ruin your makeup.
970.136,973.182,"The fiercest winter storm
could not destroy this makeup."
973.89,977.019,"Xiu, look at my face.
What am I feeling?"
977.476,978.812,I have no idea.
978.979,980.313,Exactly.
980.563,984.067,"This is my sad face.
This is my curious face."
984.65,986.153,And now I'm confused.
989.697,990.948,Quiet.
992.951,994.119,Composed.
995.745,996.996,Graceful.
998.581,999.917,Elegant.
1002.211,1003.211,Poised.
1004.504,1005.588,Polite.
1007.591,1010.384,These are the qualities...
1010.552,1013.429,we see in a good wife.
1014.431,1017.267,These are the qualities...
1018.351,1021.145,we see in Mulan.
1022.188,1025.983,"When a wife
serves her husband..."
1028.153,1030.989,she must be silent.
1033.951,1035.41,She must be...
1036.077,1037.328,invisible.
1039.373,1040.707,She must be...
1042.125,1043.544,Is something wrong?
1044.502,1047.463,"No, Madam Matchmaker.
Thank you."
1049.883,1052.635,It's ideal for the teapot...
1054.805,1058.683,"to remain
in the center of the table."
1059.017,1060.644,"Yes, I understand."
1062.436,1065.816,"But I think the teapot
should remain where it is."
1066.4,1068.026,Move the teapot.
1068.234,1069.236,Girl!
