start_time,end_time,text
11.26,13.65,In sixteen hundred seven
13.74,16.3,We sailed the open sea
16.38,21.62,"For glory, God and gold
and the Virginia Company"
21.7,24.22,"For the New World
is like heaven"
24.3,26.86,And we'll all be rich and free
26.94,32.41,"Or so we have been told
by the Virginia Company"
32.5,37.66,"So we have been told
by the Virginia Company"
47.9,53.74,"For glory, God and gold
and the Virginia Company"
53.82,56.97,"- Ready to hoist the cannon?
- Right!
- Hey, look. Is that Smith?"
57.06,59.18,"That's him, all right.
The old sea dog."
59.26,62.33,"Captain John Smith.
I've heard some amazing
stories about him."
62.42,65.94,"- Are you coming
on this voyage too?
- Of course he is, you half-wit."
66.02,68.62,"You can't fight Indians
without John Smith."
68.7,72.41,"That's right. I'm not about to
let you boys have all the fun."
73.5,75.89,On the beaches of Virginny
75.98,78.42,There's diamonds like debris
78.5,83.82,"There silver rivers flow
and gold you pick
right off a tree"
83.9,85.81,With a nugget for my Winnie
85.9,88.58,And another one for me
88.66,93.86,"And all the rest will go
to the Virginia Company"
93.94,96.41,"To glory, God and gold"
96.5,102.77,And the Virginia Company
107.42,109.54,Haul on the brace!
109.62,113.06,"- Come on, come on!
- Do your best!"
113.14,115.29,Watch out!
118.26,120.38,"Faster!
She's taking on more water!"
124.18,126.17,Look out!
129.46,131.82,John! Get down here!
131.9,134.7,The cannons are breaking loose!
138.34,141.25,"- Reef the topsails!
- Yes, sir!
- Steady on your course."
141.34,144.14,"It's all right, Thomas.
We'll get her tied off."
144.22,146.45,"Say your prayers, men!"
154.66,157.22,"Thomas, watch it!"
160.26,162.25,Help!
162.34,165.3,"- Man overboard!
- Help!"
165.38,168.34,"- Stay your course! He's lost!
- Help!"
168.42,171.14,"- Pull the pins!
- Aye, sir!"
175.22,178.13,Smith! Smith!
179.58,181.49,Are you crazy?
183.02,185.38,"Hang on, Thomas!
I've got you!"
187.78,190.34,Quick! The rope!
190.42,192.25,Heave!
197.06,199.1,"Come on, lads! Pull!"
201.5,203.73,"- Pull! Pull!
- Pull! Pull!"
203.82,206.46,"- Put your back into it!
- Pull!"
206.54,208.53,"- Pull!
- Hang on!"
212.18,215.3,"There, my lucky lads."
215.38,217.98,"Well, that was refreshing."
218.06,220.02,"Well done, Smith."
220.1,223.57,"Of course, you'd all
do the same for me."
223.66,225.86,"- Oh, sure, sure.
Of course we would.
- Sure, yes. Yeah, we would."
225.94,227.77,Absolutely!
229.34,232.62,"- Trouble on deck?
- Governor Ratcliffe."
232.7,236.25,"- Thomas fell overboard, sir.
- Thank heavens he's been
successfully retrieved."
236.34,238.46,"- Well done, Smith.
- Thank you, sir."
