start_time,end_time,text
167.501,169.46,Did you hear that?
169.545,171.211,They shut down the main reactor.
171.295,172.921,We'll be destroyed for sure.
173.006,174.006,This is madness.
184.058,185.308,We're doomed.
187.895,192.608,"There'll be no escape
for the princess this time."
193.693,194.86,What's that?
297.254,299.715,"R2-D2, where are you?"
315.774,316.899,At last!
316.983,318.776,Where have you been?
318.86,320.069,They're heading in this direction.
320.153,321.987,What are we going to do?
322.072,323.863,"We'll be sent to the spice mines of Kessel,"
323.949,325.615,smashed into who knows what!
326.701,329.452,Wait a minute. Where are you going?
341.341,344.343,"The Death Star plans
are not in the main computer."
344.427,347.096,"Where are those transmissions
you intercepted?"
347.18,350.014,What have you done with those plans?
350.1,352.976,We intercepted no transmissions.
353.06,354.853,This is a consular ship.
354.937,357.064,We're on a diplomatic mission.
357.149,359.399,"If this is a consular ship,"
359.483,361.776,where is the ambassador?
365.197,368.617,"Commander, tear this ship apart
until you've found those plans,"
368.701,371.786,"and bring me the passengers!
I want them alive!"
384.259,385.8,There's one. Set for stun.
391.307,393.183,She'll be all right.
393.268,395.185,Inform Lord Vader we have a prisoner.
395.269,398.439,"Hey! You're not permitted in there.
It's restricted."
398.523,401.317,You'll be deactivated for sure.
403.278,404.653,"Don't you call me a mindless philosopher,"
404.737,405.904,you overweight glob of grease!
405.988,407.656,Now come out before somebody sees you.
410.034,411.911,Secret mission? What plans?
411.995,413.329,What are you talking about?
413.413,414.954,I'm not getting in there.
417.625,419.502,I'm going to regret this.
426.968,428.384,There goes another one.
428.47,430.887,Hold your fire. There's no life-forms.
430.971,432.43,It must have short-circuited.
432.516,436.894,"That's funny. The damage
doesn't look as bad from out here."
436.978,438.896,Are you sure this thing is safe?
440.981,442.024,Oh.
457.999,461.627,Darth Vader. Only you could be so bold.
461.711,463.963,"The Imperial Senate
will not sit still for this."
464.047,465.338,"When they hear
you've attacked a diplomatic-"
465.423,466.923,"Don't act so surprised, Your Highness."
467.007,469.509,You weren't on any mercy mission this time.
469.593,473.721,"Several transmissions
were beamed to this ship by rebel spies."
473.807,476.683,"I want to know what happened
to the plans they sent you."
476.768,478.519,I don't know what you're talking about.
478.603,481.896,"I'm a member of the Imperial Senate
on a diplomatic mission to Alderaan."
481.982,484.858,"You are part of the Rebel
Alliance and a traitor."
484.942,486.569,Take her away!
490.574,492.365,Holding her is dangerous.
492.449,493.867,"If word of this gets out,"
493.951,495.87,"it could generate sympathy
for the rebellion in the senate."
495.954,498.581,I've traced the rebel spies to her.
498.665,501.375,"Now she is my only link
to finding their secret base."
501.459,503.877,She'll die before she'll tell you anything.
503.961,505.379,Leave that to me.
505.463,506.88,"Send a distress signal,"
506.964,509.382,"and then inform the senate
that all aboard were killed."
509.466,512.177,"Lord Vader, the battle station plans
are not aboard this ship,"
512.261,513.721,and no transmissions were made.
513.804,516.347,"An escape pod was jettisoned
during the fighting,"
516.432,518.017,but no life-forms were aboard.
518.1,520.894,"She must have hidden
the plans in the escape pod."
520.979,524.773,"Send a detachment down to retrieve them-
See to it personally, Commander."
524.857,527.4,There'll be no one to stop us this time.
527.485,528.61,"Yes, sir."
541.499,544.876,How did we get into this mess?
544.961,547.671,I really don't know how.
547.755,549.38,We seem to be made to suffer.
549.466,550.841,It's our lot in life.
553.01,556.263,I've got to rest before I fall apart.
556.347,558.349,My joints are almost frozen.
564.105,566.899,What a desolate place this is!
571.196,572.904,Where do you think you're going?
572.989,574.697,"Well, I'm not going that way."
574.783,576.408,It's much too rocky.
576.493,578.369,This way is much easier.
578.452,582.413,"What makes you think
there are settlements over there?"
583.959,585.459,Don't get technical with me.
585.543,588.836,What mission? What are you talking about?
590.715,593.299,I've just about had enough of you.
593.384,594.802,Go that way.
594.885,596.803,"You'll be malfunctioning within a day,"
596.888,598.471,you nearsighted scrap pile.
598.556,600.975,"And don't let me catch you following me
begging for help,"
601.058,602.558,because you won't get it.
616.615,618.325,No more adventures.
618.409,620.411,I'm not going that way.
654.07,657.697,"That malfunctioning little twerp.
This is all his fault."
657.782,660.491,"He tricked me into going this way,"
660.576,662.494,but he'll do no better.
666.206,667.875,Wait! What's that?
667.958,669.375,A transport.
669.461,671.169,I'm saved!
671.254,673.004,Over here!
673.089,675.966,Hey!
676.051,679.595,Help! Please help!
889.346,890.721,R2?
894.184,897.77,"R2-D2, it is you! It is you!"
931.931,933.264,Someone was in the pod.
