start_time,end_time,text
146.68,152.52,L is for the way you look at me
152.553,158.793,O is for the only one I see
158.826,165.326,"V is very, very extraordinary"
165.366,171.166,"E is even more than anyone
that you adore can"
171.205,177.675,"Love
is all that I can give to you"
177.711,183.821,"Love is more than
just a game for two"
183.851,186.921,Two in love can make it
186.954,189.924,"Take my heart
and please don't break it"
189.957,195.357,Love was made for me and you
195.396,201.196,Love was made for me and you
237.938,240.868,"My God, my phone just
does not work up here."
240.908,243.578,How are we ever going to live?
245.012,248.422,Thanks.
248.449,250.449,"Oh, there's a counselor.
Excuse me."
250.484,254.054,"- Where is the Navajo bunk?
- It's right over there."
254.087,258.627,"Welcome to Camp Walden.
I'm Marva Kulp, your camp director."
258.659,261.959,"Now girls, let's find our
duffels as quickly as we can."
261.995,263.995,"We have a big first day
ahead of us."
264.031,266.001,"I'm going to turn
the bullhorn over"
266.033,269.473,"to my daughter and
right-hand man, Marva Jr."
269.503,273.573,"Marva, bunk assignments
if you please."
273.607,277.277,"All right.
Here we go. Listen up."
277.311,280.451,"We got Berg, Kate, Iroquois.
Berg, Lily, Chickasaw."
280.481,283.921,"Wait a minute.
I thought this was a boy's camp."
283.951,286.521,Boys?
291.024,293.664,OK. Found my duffel.
298.131,302.301,"Now, the question is,
how do I get it out?"
303.904,305.844,OK. I can do it.
305.873,307.883,OK. No I can't.
307.908,310.478,"- You must be new.
- How can you tell?"
310.511,312.711,"You didn't know
how to grab your duffle"
312.746,314.816,"before the apes
tossed it into the heap."
314.848,318.488,"- You need some serious help.
- Thanks. It's the yellow one."
321.389,323.789,"Whoa. Now that's
my kind of woman."
323.824,326.364,"- Yo, tie-dye girl.
- Hmm?"
326.394,330.464,"Could you give me a hand with
my duffle? It's the yellow one."
330.498,331.998,Sure.
332.032,335.872,"Oh, that? No problem."
335.903,339.343,"Hey, you're from California?
Do you, like, live in Hollywood?"
339.373,340.873,Do you live next door to a star?
340.908,342.878,"What are you two,
Lucy and Ethel?"
342.91,344.98,I've never been to Hollywood.
345.012,347.482,"I live in Napa.
That's northern California."
347.515,349.815,"- I live next to a vineyard.
- A what-yard?"
349.85,352.89,"A vineyard. It's where
you grow grapes to make wine."
352.92,356.16,"That's what we do. Me and
my dad. We own a vineyard."
356.189,358.989,"- Parker, Hallie.
- Right here."
359.026,361.526,"- Arapaho.
- That's where I am!"
363.063,365.073,"Come on, you guys."
365.098,369.498,"So, uh... either of you by any
chance know how to play poker?"
369.537,371.737,"Nah, never played it before."
