start_time,end_time,text
11.678,15.513,"♪ Which pet's address
is the finest in Paris?"
15.682,19.434,"♪ Which pets possess
the longest pedigree?"
19.602,23.355,"♪ Which pets get to sleep
on velvet mats?"
23.522,24.981,♪ Naturellement
25.149,27.484,♪ The Aristocats
27.652,31.53,"♪ Which pets are blessed
with the fairest forms and faces?"
31.698,35.451,"♪ Which pets know best
all the gentle social graces?"
35.618,39.246,"♪ Which pets live
on cream and loving pats?"
39.414,40.956,♪ Naturellement
41.124,42.75,♪ The Aristocats
42.917,45.085,♪ They show aristocatic bearing
45.253,47.253,♪ When they're seen upon an airing
47.421,49.965,♪ And aristocatic flair in what they do
50.133,51.508,♪ And what they say
51.676,54.344,"♪ Aristocats are never found
in alleyways"
54.512,56.429,♪ Or hanging 'round the garbage cans
56.597,58.14,♪ Where common kitties play
58.307,61.143,"♪ Oh, no
Which pets are known"
61.31,63.603,♪ To never show their claws?
63.771,67.524,"♪ Which pets are prone
to hardly any flaws?"
67.692,71.569,"♪ To which pets do the others
tip their hats?"
71.737,72.945,♪ Naturellement
73.114,74.989,♪ The Aristocats
105.563,106.646,"Oh, ho!"
106.814,108.816,[singing continues in French]
145.228,147.437,"Marie, my little one."
147.604,149.897,"You're going to be
as beautiful as your mother."
150.066,151.567,"Isn't she, Duchess?"
151.734,153.026,[meows]
156.573,158.574,"[woman] Careful, Toulouse."
158.74,162.743,"[chuckling] You're making it
very difficult for Edgar."
165.581,167.29,"Whoa, Frou-Frou, whoa."
167.457,168.876,"Steady, girl."
174.257,176.591,"- Thank you, Edgar.
- [Frou-Frou nickers]"
176.759,179.343,"Oh. Of course, Frou-Frou."
179.512,181.722,I almost forgot.
182.681,185.808,"Madame... uh, may I take
your parcel, Madame?"
185.977,187.936,"It really is much too heavy
for you, Madame."
188.103,190.062,"Now, tut-tut, Edgar."
190.23,191.647,Don't fuss over me.
192.901,194.276,[meowing]
194.443,196.11,"Berlioz, come back here."
196.278,199.156,"Haven't you forgotten
something, darling?"
199.324,202.366,"Thank you, Miss Frou-Frou,
for letting me ride on your back."
202.534,204.87,"[chuckling] You're quite
welcome, young man."
205.038,207.205,"How was that, Mama?"
