start_time,end_time,text
5.049,25.25,<u><b>CAPTIONING BY KOUSHIK DAS</b></u>
186.603,188.73,BEG YOUR PARDON. FORGOT TO KNOCK.
232.816,236.069,<i>NI ODNOHO VYZDOHA! GDYE VASHY?</i>
236.694,237.991,I'M ALONE.
241.949,244.078,AREN'T WE ALL?
245.287,248.586,"- YOU'RE LATE, 007.
- I HAD TO STOP IN THE BATHROOM."
249.29,252.76,"- READY TO SAVE THE WORLD AGAIN?
- AFTER YOU, 006."
257.257,262.184,"- JAMES... FOR ENGLAND.
- FOR ENGLAND, ALEC."
305.555,310.06,"- IT'S TOO EASY.
- HALF OF EVERYTHING IS LUCK, JAMES."
310.935,312.903,AND THE OTHER HALF?
315.064,316.692,FATE.
317.399,320.528,"- SIX MINUTES.
- SIX MINUTES. CHECK."
348.098,349.771,FIRE!
351.976,355.447,"- CLOSING TIME, JAMES! LAST CALL!
- BUY ME A PINT."
372.079,375.709,"THIS IS COLONEL OURUMOV!
COME OUT WITH YOUR HANDS UP!"
376.25,377.593,HOW ORIGINAL.
381.63,383.975,"SHUT THE DOOR, ALEC! THERE'S A DRAUGHT!"
387.22,389.268,ALEC?
401.901,405.906,"MOVE OUT. THROW DOWN YOUR WEAPON
AND WALK TOWARDS ME, SLOWLY."
405.988,409.834,"- FINISH THE JOB, JAMES! BLOW THEM TO HELL!
- YOU HAVE TEN SECONDS."
412.12,413.463,TEN.
414.204,416.923,"NINE, EIGHT,"
417.584,420.052,"SEVEN, SIX,"
421.17,423.514,"FIVE, FOUR,"
423.923,426.267,"- THREE, TWO...
- FOR ENGLAND, JAMES!"
429.137,432.516,HOLD YOUR FIRE! YOU'LL BLOW THE GAS TANKS!
434.475,437.48,"THIS IS YOUR LAST CHANCE!
COME OUT WITH YOUR HANDS..."
442.274,444.322,WAIT!
485.86,487.156,YOU CAN'T WIN.
507.548,510.473,GET OUT THERE! MOVE! MOVE IT!
524.899,526.275,HOLD YOUR FIRE!
562.437,564.11,WAIT!
658.7,662.705,<i>SEE REFLECTIONS ON THE WATER</i>
663.203,667.458,<i>MORE THAN DARKNESS IN THE DEPTHS</i>
668.168,672.014,<i>SEE HIM SURFACE IN EVERY SHADOW</i>
673.005,677.01,"<i>ON THE WIND, I FEEL HIS BREATH</i>"
677.342,681.313,"<i>GOLDENEYE, I'VE FOUND HIS WEAKNESS</i>"
682.307,686.231,"<i>GOLDENEYE, HE'LL DO WHAT I PLEASE</i>"
687.144,690.524,"<i>GOLDENEYE, NO TIME FOR SWEETNESS</i>"
