start_time,end_time,text
58.559,61.602,"BOY: All right, everyone!
This... is a stick-up!"
61.687,63.354,Don't anybody move!
64.398,66.482,"Now, empty that safe!"
68.318,71.612,"Ooh-hoo-hoo!
Money, money, money! (KISSING)"
71.697,74.031,"Stop it! Stop it,
you mean, old potato!"
74.116,77.16,"Quiet, Bo Peep,
or your sheep get run over!"
77.327,79.328,"Help! Baa!
Help us!"
79.413,82.957,"Oh, no, not my sheep!
Somebody do something!"
89.339,92.425,VOICE BOX: Reach for the sky!
92.509,94.677,"Oh, no! Sheriff Woody!"
94.762,97.513,"I'm here to stop you,
One-Eyed Bart."
97.848,99.974,"Doh!
How'd you know it was me?"
100.058,101.768,Are you gonna come quietly?
101.852,103.06,"You can't touch me, Sheriff!"
103.187,106.439,"I brought my attack dog
with the built-in force field."
106.523,110.318,"Well, I brought my dinosaur
who eats force-field dogs."
110.402,112.904,"-(GROWLING)
-Yipe, yipe, yipe, yipe!"
112.988,114.697,"You're going to jail, Bart!"
114.782,116.866,"Say goodbye to the wife
and Tater Tots."
116.95,118.993,(GIGGLING EXCITEDLY)
120.454,122.038,(LAUGHING)
122.372,126.083,"(BABY SQUEALING,
LAUGHING, COOING)"
126.168,128.503,"You saved the day again, Woody."
128.587,131.13,"VOlCE BOX: You're my
favorite deputy."
131.215,133.716,♪ You've got a friend in me
135.594,137.72,♪ You've got a friend in me
137.804,139.555,"Come on,
let's wrangle up the cattle."
139.64,142.767,"♪ When the road looks
rough ahead"
142.851,146.646,"♪ And you're miles and miles
from your nice, warm bed"
146.73,147.98,"Round 'em up, cowboy!"
148.065,150.858,"♪ Just remember
what your old pal said"
150.943,153.861,"♪ Boy, you've got
a friend in me"
153.946,154.987,Yee-haw!
155.072,157.949,"♪ Yeah, you've got a friend in me"
158.033,159.992,"Hey, cowboy!"
160.077,162.912,"♪ Some other folks might be
a little bit smarter than l am"
162.996,163.996,(WHINNYING)
164.081,165.831,♪ Big and stronger too
165.916,166.958,"Come on, Woody."
167.042,168.042,♪ Maybe
168.126,173.339,"♪ But none of them will ever
love you the way l do"
173.423,175.883,"-♪ lt's me and you, boy
-(LAUGHS)"
175.968,177.218,♪ And as the years go by
177.302,179.387,Whoa! Whoa! (LAUGHING)
179.471,182.431,♪ Our friendship will never die
183.517,184.517,Whoo!
184.601,186.561,"♪ You're gonna see
lt's our destiny"
186.645,188.02,(LAUGHING)
188.772,190.69,♪ You've got a friend in me
190.774,191.899,All right!
191.984,194.402,"♪ Yeah, you've got a friend in me"
194.486,195.903,Score!
196.78,199.448,"-♪ You got a friend in me ♪
-Wow! Cool!"
199.533,202.66,"-MOM: What do you think?
-Oh, this looks great, Mom!"
202.744,204.036,"Okay, birthday boy..."
204.121,206.163,"We saw that at the store!
I asked you for it!"
206.248,207.999,"-I hope I have enough places.
-Wow, look at that! That's so..."
208.083,210.001,"-One, two... Four.
-Oh, my gosh, you got..."
210.085,212.795,"-Yeah, I think that's gonna be enough.
-Could we leave this up 'til we move?"
212.879,214.797,"-Well, sure! We can leave it up.
-Yeah!"
214.881,216.924,"Now go get Molly. Your friends
are gonna be here any minute."
217.009,219.844,"Okay. It's party time, Woody."
220.512,223.514,"-Yee-haw!
-(RUNNING FOOTFALLS)"
226.977,228.978,(BABY SQUEALING)
229.104,230.938,"Howdy, little lady."
231.023,232.94,(SQUEALING)
234.735,236.944,"VOlCE BOX: Somebody's
poisoned the water hole."
237.029,238.946,"-(COOING)
-Come on, Molly."
239.031,240.156,"Oh, you're getting heavy."
240.532,242.95,"-(MOLLY COOING)
-See you later, Woody."
243.035,244.869,(DOOR CLOSES)
250.542,253.544,"Pull my string!
The birthday party's today?"
256.59,258.507,"Okay, everybody,
coast is clear!"
264.848,267.725,"-(SQUEAKS)
-Ages 3 and up. It's on my box."
267.809,271.729,"Ages 3 and up. I'm not supposed
to be baby-sitting Princess Drool."
272.147,275.024,"(TIRES SQUEAL, MOTOR REVS)"
277.819,281.781,"-(LITTLE TIKES GIBBERING)
-(BELL DINGS, SIREN WAILING)"
283.241,284.867,"-(SIREN WAILING)
-Hey, Hamm."
284.951,288.12,"-Look, I'm Picasso!
-I don't get it."
288.664,292.708,"You uncultured swine! What're
you lookin' at, ya hockey puck?"
293.877,295.294,(SQUEAKS)
295.379,297.046,(LITTLE TIKES GIBBERING)
297.13,299.924,"-Hey, Sarge, have you seen Slinky?
-Sir! No, sir!"
300.008,302.927,"Okay. Hey, thank you. At ease."
303.011,305.638,"-(SIREN WAILING)
-Hey, uh, Slinky?"
